State,District,Latitude,Longitude,District code,Population,Households_with_Internet,literacy_rate,sex_ratio,Percentage of Poor
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532.0,2741239.0,5512.0,54.0,1001.0,14.800029
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146.0,4418797.0,27183.0,61.0,868.0,0.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474.0,7214225.0,126341.0,75.0,904.0,0.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283.0,400309.0,4019.0,85.0,1009.0,0.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119.0,2583052.0,13499.0,59.0,951.0,0.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501.0,1813906.0,6163.0,78.0,946.0,0.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598.0,2127789.0,28842.0,87.0,1100.0,0.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143.0,3673889.0,13634.0,57.0,882.0,0.0
0,Alirajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.243094
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175.0,5954391.0,24122.0,62.0,901.0,0.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64.0,622506.0,1830.0,70.0,1139.0,9.607097
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104.0,3674179.0,9750.0,59.0,895.0,0.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70.0,1128350.0,12899.0,72.0,885.0,0.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178.0,2397888.0,2509.0,62.0,978.0,0.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503.0,2888445.0,9438.0,78.0,951.0,0.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480.0,1514190.0,2538.0,66.0,964.0,0.0
Punjab,Amritsar,31.54867982062777,74.79883856502238,49.0,2490656.0,29961.0,68.0,889.0,3.304069
Gujarat,Anand,22.282718206229863,72.57782051557454,482.0,2092745.0,9902.0,74.0,925.0,0.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553.0,4081148.0,8606.0,57.0,977.0,0.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461.0,749237.0,1290.0,58.0,976.0,0.0
Bihar,Araria,26.211528119180603,87.30766554934816,209.0,2811569.0,2561.0,43.0,921.0,34.559143
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616.0,754894.0,1749.0,64.0,1015.0,5.418127
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459.0,845071.0,619.0,56.0,904.0,0.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162.0,1379545.0,2404.0,67.0,864.0,0.0
Bihar,Aurangabad,24.77429186746988,84.45986024096379,235.0,2540073.0,2362.0,58.0,926.0,0.0
Bihar,Aurangabad,24.77429186746988,84.45986024096379,515.0,3701282.0,23258.0,68.0,923.0,0.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235.0,2540073.0,2362.0,58.0,926.0,0.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515.0,3701282.0,23258.0,68.0,923.0,0.0
Uttar Pradesh,Azamgarh,26.00829095477384,83.01220251256285,191.0,4613913.0,6652.0,60.0,1019.0,0.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556.0,1889752.0,3745.0,59.0,989.0,12.09817
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63.0,259898.0,435.0,69.0,1090.0,0.0
